Age,Team,Year
#None,BOS,1947
#None,NYK,1947
#None,BOS,1948
#None,NYK,1948
#None,BOS,1949
#None,NYK,1949
#None,BOS,1950
#None,NYK,1950
#None,BOS,1951
#None,NYK,1951
24.9867992993,BOS,1952
25.4826675055,NYK,1952
25.4595271372,BOS,1953
26.0528400024,NYK,1953
26.4350748549,BOS,1954
27.1658850783,NYK,1954
26.8094881254,BOS,1955
#None,NYK,1955
26.8847594353,BOS,1956
26.7599818512,NYK,1956
27.0027617952,BOS,1957
27.0090544413,NYK,1957
27.636174516,BOS,1958
28.3721518987,DET,1958
25.0513808976,NYK,1958
27.1023455378,BOS,1959
27.5248783281,DET,1959
25.7110242107,NYK,1959
27.4856793282,BOS,1960
27.1091900226,DET,1960
26.4432369169,NYK,1960
28.2572927597,BOS,1961
25.7669030733,DET,1961
25.2276644944,LAL,1961
26.2078126641,NYK,1961
27.9517559786,BOS,1962
25.9856623377,DET,1962
25.8833976834,LAL,1962
25.9486194727,NYK,1962
28.2948378729,BOS,1963
24.941026971,DET,1963
26.1914508709,LAL,1963
27.6677720207,NYK,1963
28.4081452659,BOS,1964
25.5329804349,DET,1964
26.3201369792,LAL,1964
25.6930616055,NYK,1964
27.3585955787,PHI,1964
28.3262775616,BOS,1965
24.3520310479,DET,1965
26.3554521964,LAL,1965
25.4598974359,NYK,1965
27.6081452659,PHI,1965
28.8098309493,BOS,1966
24.9721875,DET,1966
26.4715324675,LAL,1966
25.3670038911,NYK,1966
26.4692987013,PHI,1966
29.6361967882,BOS,1967
25.620625962,CHI,1967
25.1944869832,DET,1967
27.1240991567,LAL,1967
25.2064135454,NYK,1967
26.9577248271,PHI,1967
29.5332656686,BOS,1968
25.3023983842,CHI,1968
25.9709807887,DET,1968
27.8291970803,LAL,1968
25.6315895372,NYK,1968
27.6292719919,PHI,1968
27.4429295489,ATL,1969
30.4687846697,BOS,1969
25.6759301443,CHI,1969
26.23685143,DET,1969
29.4501883949,LAL,1969
26.6982215447,MIL,1969
26.1753674607,NYK,1969
27.9363292098,PHI,1969
24.7857611714,PHO,1969
27.2845803842,ATL,1970
28.3933771486,BOS,1970
26.2882293763,CHI,1970
26.221203727,DET,1970
27.7113464448,LAL,1970
24.9272497472,MIL,1970
27.0064875824,NYK,1970
28.0727410782,PHI,1970
25.4317091644,PHO,1970
27.5993925588,ATL,1971
26.1923154702,BOS,1971
27.4318400405,CHI,1971
24.3169207317,CLE,1971
25.761017376,DET,1971
28.2211592002,LAL,1971
26.1441354904,MIL,1971
27.9732219691,NYK,1971
29.011035181,PHI,1971
26.0444893832,PHO,1971
25.374740572,POR,1971
26.8101875317,ATL,1972
27.6453623923,BOS,1972
27.4757330637,CHI,1972
24.176309795,CLE,1972
26.2389800555,DET,1972
27.6539964476,GSW,1972
24.5930055753,HOU,1972
29.4789167299,LAL,1972
26.2596056623,MIL,1972
28.7626861904,NYK,1972
28.251314459,PHI,1972
26.6463782696,PHO,1972
24.5005806614,POR,1972
27.1314674735,ATL,1973
27.9854029397,BOS,1973
27.6949255239,CHI,1973
26.2308119012,CLE,1973
25.3672901921,DET,1973
28.5659401926,GSW,1973
25.687449187,HOU,1973
30.2850417616,LAL,1973
26.3938243483,MIL,1973
28.6967055246,NYK,1973
27.6322351749,PHI,1973
26.158440901,PHO,1973
23.9554992397,POR,1973
27.1427486712,ATL,1974
28.4735085945,BOS,1974
28.7212841254,CHI,1974
26.5281700835,CLE,1974
26.1526702101,DET,1974
28.4445064704,GSW,1974
25.4268949887,HOU,1974
28.6551759048,LAL,1974
27.3287269046,MIL,1974
28.5389787664,NYK,1974
28.3586416624,PHI,1974
26.1553530752,PHO,1974
24.6659908768,POR,1974
25.0936127241,ATL,1975
29.1433561124,BOS,1975
30.2474346076,CHI,1975
25.9413983903,CLE,1975
26.6191321999,DET,1975
25.8130434783,GSW,1975
25.2257836198,HOU,1975
28.2387811634,LAL,1975
26.1924766473,MIL,1975
27.7205778003,NYK,1975
27.7009341075,PHI,1975
25.8536228225,PHO,1975
26.0183098592,POR,1975
